id,name,duration,firstYearRelease,countryOfOrigin,productionCompany,banner,genres
35,"Hammer, The",73,1996,Portugal,Lind Group,http://dummyimage.com/236x100.png/ff4444/ffffff,"[""Drama""]"
36,Blue,190,2009,Portugal,Purdy and Sons,http://dummyimage.com/163x100.png/ff4444/ffffff,"[""Romance"",""Western""]"
37,Snow and Ashes,75,1964,Japan,Yost-Bode,http://dummyimage.com/182x100.png/dddddd/000000,"[""Drama"",""Thriller"",""War""]"
38,Saint Laurent,147,2012,Indonesia,Predovic Group,http://dummyimage.com/214x100.png/ff4444/ffffff,"[""Drama"",""Romance""]"
39,"Old Dark House, The",169,1958,Belarus,Rodriguez and Sons,http://dummyimage.com/124x100.png/ff4444/ffffff,"[""Drama"",""Horror"",""Thriller""]"
40,Eden,53,1965,China,Stamm-Lebsack,http://dummyimage.com/248x100.png/cc0000/ffffff,"[""Drama""]"
41,Janie Jones,190,1999,China,Gutmann Inc,http://dummyimage.com/180x100.png/cc0000/ffffff,"[""Drama"",""Musical""]"
42,Igby Goes Down,122,2001,Cambodia,Moore Group,http://dummyimage.com/133x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
43,Dying of Laughter (Muertos de Risa),98,1961,Azerbaijan,Rath LLC,http://dummyimage.com/200x100.png/cc0000/ffffff,"[""Comedy""]"
44,Just a Kiss,43,1951,Peru,"Howe, Bergstrom and Jerde",http://dummyimage.com/149x100.png/dddddd/000000,"[""Comedy"",""Romance""]"
45,Jack Frost 2: Revenge of the Mutant Killer Snowman,149,2021,Sweden,Bailey Inc,http://dummyimage.com/238x100.png/5fa2dd/ffffff,"[""Horror""]"
46,Affluenza,68,2012,Taiwan,Kihn Inc,http://dummyimage.com/198x100.png/cc0000/ffffff,"[""Drama""]"
47,"One Percent, The",183,1956,China,"Cassin, Tromp and Gibson",http://dummyimage.com/178x100.png/cc0000/ffffff,"[""Documentary""]"
48,The Damned,182,1951,Indonesia,Lindgren Group,http://dummyimage.com/100x100.png/5fa2dd/ffffff,"[""Horror"",""Mystery"",""Thriller""]"
49,"Hunter, The",66,1967,Philippines,Bashirian Group,http://dummyimage.com/131x100.png/dddddd/000000,"[""Drama""]"
50,Kind Hearts and Coronets,198,1953,Greece,Braun LLC,http://dummyimage.com/166x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
51,Jalla! Jalla!,143,1983,Venezuela,Leannon-Schmidt,http://dummyimage.com/102x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Romance""]"
52,War of the Shaolin Temple (Shao Lin shi san gun seng),157,1971,Laos,"Labadie, Schamberger and Yost",http://dummyimage.com/144x100.png/dddddd/000000,"[""Action"",""Adventure"",""War""]"
53,"Misérables, Les",169,2016,Japan,Ziemann-Rippin,http://dummyimage.com/250x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
54,"Air I Breathe, The",69,1961,Brazil,Roberts Inc,http://dummyimage.com/182x100.png/dddddd/000000,"[""Crime"",""Drama"",""Romance"",""Thriller""]"
55,Colorado Avenue,187,2012,Mauritius,Wolff and Sons,http://dummyimage.com/115x100.png/dddddd/000000,"[""Drama""]"
56,Katatsumori,65,2000,Poland,Rolfson-Wolff,http://dummyimage.com/144x100.png/ff4444/ffffff,"[""Documentary""]"
57,Deuce Bigalow: Male Gigolo,140,1954,Armenia,Schaden and Sons,http://dummyimage.com/141x100.png/cc0000/ffffff,"[""Comedy""]"
58,Get Educated: Paathshaala,34,1997,Vietnam,Hand LLC,http://dummyimage.com/199x100.png/cc0000/ffffff,"[""Drama""]"
59,In a Town This Size,39,2018,Nigeria,Gerlach Group,http://dummyimage.com/235x100.png/ff4444/ffffff,"[""Documentary""]"
60,"Collector, The",68,1996,Czech Republic,"Reinger, Hammes and Monahan",http://dummyimage.com/121x100.png/ff4444/ffffff,"[""Crime"",""Horror"",""Thriller""]"
61,Young Mr. Lincoln,181,1964,Indonesia,Cole Inc,http://dummyimage.com/202x100.png/dddddd/000000,"[""Drama""]"
62,Blood Runs Cold,157,1988,Indonesia,Ferry-Bauch,http://dummyimage.com/115x100.png/ff4444/ffffff,"[""Horror""]"
63,"Alphabet Killer, The",134,1964,Bolivia,Halvorson Group,http://dummyimage.com/220x100.png/cc0000/ffffff,"[""Crime""]"
64,"Smile Like Yours, A",99,1965,Indonesia,"Hermiston, Sipes and Fisher",http://dummyimage.com/215x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
65,Not Fade Away,25,2015,Thailand,"Lubowitz, Lebsack and Wuckert",http://dummyimage.com/212x100.png/ff4444/ffffff,"[""Drama""]"
66,Coonskin,187,2015,Philippines,"Johnston, Rolfson and Funk",http://dummyimage.com/155x100.png/ff4444/ffffff,"[""Animation"",""Crime"",""Drama""]"
67,Ten Little Indians (Ein Unbekannter rechnet ab) (And Then There Were None),191,2012,Ukraine,Feeney-Satterfield,http://dummyimage.com/150x100.png/cc0000/ffffff,"[""Crime"",""Drama"",""Mystery""]"
68,Birdemic: Shock and Terror,200,1959,Pakistan,Kohler-Morar,http://dummyimage.com/186x100.png/cc0000/ffffff,"[""Romance"",""Thriller""]"
69,Don't Drink the Water,72,1968,Russia,"Purdy, Bins and Schmidt",http://dummyimage.com/208x100.png/dddddd/000000,"[""Comedy""]"
70,This Land Is Mine,74,1990,Argentina,Runolfsdottir-Turner,http://dummyimage.com/117x100.png/dddddd/000000,"[""Drama"",""War""]"
71,Perfect Blue,61,1950,Canada,Tromp-Prohaska,http://dummyimage.com/216x100.png/dddddd/000000,"[""Animation"",""Horror"",""Mystery"",""Thriller""]"
72,Born to Kill,117,1952,China,Thompson Group,http://dummyimage.com/148x100.png/ff4444/ffffff,"[""Crime"",""Drama"",""Film-Noir""]"
73,Little Fridolf Becomes a Grandfather,29,2001,China,Jenkins-Beer,http://dummyimage.com/243x100.png/ff4444/ffffff,"[""Comedy""]"
74,Electric Dreams,24,1986,Spain,Moen Group,http://dummyimage.com/117x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Romance"",""Sci-Fi""]"
75,Goal II: Living the Dream,20,1956,Mexico,"Reinger, Bednar and Howell",http://dummyimage.com/105x100.png/dddddd/000000,"[""Action"",""Drama""]"
76,Goodbye Solo,101,1990,Poland,Hegmann-Predovic,http://dummyimage.com/233x100.png/ff4444/ffffff,"[""Drama""]"
77,Tales from the Darkside: The Movie,62,2023,Croatia,Schultz Inc,http://dummyimage.com/118x100.png/ff4444/ffffff,"[""Fantasy"",""Horror"",""Thriller""]"
78,Bronx Obama,129,1994,Uzbekistan,Schmeler and Sons,http://dummyimage.com/162x100.png/5fa2dd/ffffff,"[""Documentary""]"
79,Flight from Death: The Quest for Immortality,65,2016,Northern Mariana Islands,Nolan-Herman,http://dummyimage.com/202x100.png/cc0000/ffffff,"[""Documentary""]"
80,Pretty Poison,16,2011,Philippines,"Schmitt, Walker and Fadel",http://dummyimage.com/170x100.png/ff4444/ffffff,"[""Comedy"",""Crime"",""Romance"",""Thriller""]"
81,Keith Lemon: The Film,38,2005,Thailand,Rodriguez Inc,http://dummyimage.com/172x100.png/ff4444/ffffff,"[""Comedy""]"
82,"Tiger's Tail, The",35,1977,Russia,Hermann Inc,http://dummyimage.com/156x100.png/5fa2dd/ffffff,"[""Comedy"",""Crime"",""Drama"",""Mystery"",""Thriller""]"
83,"Dukes, The",74,1952,Sweden,Runte Inc,http://dummyimage.com/226x100.png/ff4444/ffffff,"[""Comedy"",""Crime"",""Drama""]"
84,"Mind Reader, The",36,2000,Russia,Kirlin-Bernhard,http://dummyimage.com/207x100.png/ff4444/ffffff,"[""Drama"",""Romance""]"
85,Banana Joe,190,2000,Egypt,"Armstrong, Purdy and Kuphal",http://dummyimage.com/157x100.png/dddddd/000000,"[""Comedy""]"
86,"Doll, The (Lalka)",64,1950,Marshall Islands,Leffler-Kozey,http://dummyimage.com/173x100.png/dddddd/000000,"[""Drama"",""Romance""]"
87,From the Life of the Marionettes (Aus dem Leben der Marionetten) ,37,1975,Ukraine,Vandervort-Kunze,http://dummyimage.com/119x100.png/dddddd/000000,"[""Drama""]"
88,Red Road,128,2020,Armenia,Ortiz Group,http://dummyimage.com/226x100.png/cc0000/ffffff,"[""Drama""]"
89,Gotti,15,1962,Indonesia,"Jones, Yost and Bogisich",http://dummyimage.com/133x100.png/dddddd/000000,"[""Crime"",""Drama""]"
90,Burning Blue,200,1966,Sierra Leone,Kub and Sons,http://dummyimage.com/126x100.png/ff4444/ffffff,"[""Drama"",""Romance"",""War""]"
91,"Star Is Born, A",15,1957,China,Feil Inc,http://dummyimage.com/239x100.png/dddddd/000000,"[""Drama"",""Musical"",""Romance""]"
92,Paul Blart: Mall Cop,160,2001,Indonesia,"Buckridge, Wilkinson and Jakubowski",http://dummyimage.com/125x100.png/5fa2dd/ffffff,"[""Action"",""Comedy"",""Crime""]"
93,"Unbearable Lightness of Being, The",111,1993,China,"Herman, Armstrong and Bashirian",http://dummyimage.com/177x100.png/dddddd/000000,"[""Drama""]"
94,"Grateful Dead Movie, The",127,1951,Macedonia,"Torphy, Ferry and Conn",http://dummyimage.com/117x100.png/ff4444/ffffff,"[""Documentary"",""Musical""]"
95,Miss Castaway and the Island Girls,71,1997,Indonesia,"Grant, Goodwin and Hartmann",http://dummyimage.com/102x100.png/5fa2dd/ffffff,"[""Adventure"",""Comedy"",""Fantasy""]"
96,"Hard Word, The",177,2014,Chad,"Buckridge, Bergstrom and Skiles",http://dummyimage.com/236x100.png/ff4444/ffffff,"[""Comedy"",""Crime"",""Drama"",""Thriller""]"
97,Arachnophobia,87,2021,Poland,Murphy-Armstrong,http://dummyimage.com/193x100.png/5fa2dd/ffffff,"[""Comedy"",""Horror""]"
98,Inferno,149,1980,Russia,Hayes-Stokes,http://dummyimage.com/157x100.png/cc0000/ffffff,"[""Horror""]"
99,"Ultramarines: A Warhammer 40,000 Movie",151,1959,Bulgaria,Skiles and Sons,http://dummyimage.com/226x100.png/dddddd/000000,"[""Animation"",""Sci-Fi""]"
100,Mother's Day,37,1993,United States,"Sipes, Davis and Cummerata",http://dummyimage.com/102x100.png/ff4444/ffffff,"[""Comedy"",""Horror""]"
101,Sanshiro Sugata (Judo Saga) (Sugata Sanshirô),196,1971,Argentina,"Wolff, Flatley and Strosin",http://dummyimage.com/193x100.png/ff4444/ffffff,"[""Action"",""Adventure"",""Drama""]"
102,Gamera: The Giant Monster (Daikaijû Gamera),193,2023,Albania,Little and Sons,http://dummyimage.com/109x100.png/ff4444/ffffff,"[""Sci-Fi""]"
103,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown)",169,1968,Israel,Koch LLC,http://dummyimage.com/144x100.png/dddddd/000000,"[""Drama"",""Romance""]"
104,"Dark Tower, The",122,1963,Greece,Nitzsche Inc,http://dummyimage.com/139x100.png/5fa2dd/ffffff,"[""Drama"",""Thriller""]"
105,"Wraith, The",20,1992,Portugal,Gorczany LLC,http://dummyimage.com/127x100.png/cc0000/ffffff,"[""Action"",""Horror"",""Sci-Fi"",""Thriller""]"
106,Lambada,190,1960,Indonesia,"Kovacek, Crona and Prosacco",http://dummyimage.com/236x100.png/ff4444/ffffff,"[""Drama""]"
107,Stir of Echoes,127,2001,Brazil,"Toy, Hackett and Gottlieb",http://dummyimage.com/123x100.png/ff4444/ffffff,"[""Horror"",""Mystery"",""Thriller""]"
108,Agent Vinod,167,1972,Mexico,Legros LLC,http://dummyimage.com/150x100.png/dddddd/000000,"[""Action""]"
109,Angel's Egg (Tenshi no tamago),177,2019,Poland,Kuvalis-Nikolaus,http://dummyimage.com/127x100.png/ff4444/ffffff,"[""Animation"",""Drama"",""Fantasy""]"
110,Arthur Christmas,68,2012,Brazil,Volkman-Kerluke,http://dummyimage.com/187x100.png/cc0000/ffffff,"[""Animation"",""Children"",""Comedy"",""Drama""]"
111,Dad,197,2010,Brazil,Kihn and Sons,http://dummyimage.com/203x100.png/dddddd/000000,"[""Drama""]"
112,Annabel Takes a Tour (Annabel Takes a Trip),44,2019,China,O'Kon LLC,http://dummyimage.com/177x100.png/ff4444/ffffff,"[""Comedy""]"
113,"Hand of Peace: Pope Pius XII and the Holocaust, A",154,2011,China,Hodkiewicz-Waters,http://dummyimage.com/235x100.png/5fa2dd/ffffff,"[""Documentary""]"
114,"Living Skeleton, The (Kyûketsu dokuro-sen)",75,2003,China,Nikolaus Inc,http://dummyimage.com/164x100.png/5fa2dd/ffffff,"[""Horror""]"
115,Appaloosa,33,1957,Portugal,"Runolfsson, Metz and Bode",http://dummyimage.com/212x100.png/dddddd/000000,"[""Western""]"
116,Freddy vs. Jason,176,1975,Poland,Weber Group,http://dummyimage.com/118x100.png/cc0000/ffffff,"[""Action"",""Horror"",""Thriller""]"
117,Home Movie,56,1960,China,Sipes-Corwin,http://dummyimage.com/228x100.png/cc0000/ffffff,"[""Horror"",""Thriller""]"
118,Sick Girl,180,1951,China,Schmidt LLC,http://dummyimage.com/181x100.png/dddddd/000000,"[""Crime"",""Horror"",""Thriller""]"
119,"Chosen, The",80,1979,Guatemala,"Daugherty, Moen and Tromp",http://dummyimage.com/128x100.png/ff4444/ffffff,"[""Drama""]"
120,Cinderella,64,1982,Saudi Arabia,Hayes Inc,http://dummyimage.com/250x100.png/ff4444/ffffff,"[""Animation"",""Children"",""Fantasy"",""Romance""]"
121,"Fine Madness, A",49,1956,Madagascar,Dietrich Group,http://dummyimage.com/160x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama"",""Romance""]"
122,Sundown,161,1988,Mongolia,Runolfsdottir and Sons,http://dummyimage.com/123x100.png/5fa2dd/ffffff,"[""Drama"",""War""]"
123,Sharktopus vs. Pteracuda,43,1953,Paraguay,Reilly-Goldner,http://dummyimage.com/212x100.png/cc0000/ffffff,"[""Sci-Fi""]"
124,"Inspector General, The",136,1963,China,Murray Inc,http://dummyimage.com/141x100.png/dddddd/000000,"[""Musical""]"
125,"Shrimp on the Barbie, The",76,2004,Netherlands,Crona-Rosenbaum,http://dummyimage.com/191x100.png/cc0000/ffffff,"[""Comedy""]"
126,Game 6,24,1983,Vietnam,Kertzmann-Cartwright,http://dummyimage.com/203x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
127,Dante's Inferno,153,1994,Venezuela,Crona-Kihn,http://dummyimage.com/141x100.png/cc0000/ffffff,"[""Action"",""Drama""]"
128,This Movie Is Broken,64,2008,China,Kessler Inc,http://dummyimage.com/102x100.png/dddddd/000000,"[""Drama"",""Romance""]"
129,Kauwboy,54,1956,Sweden,"Barrows, Thompson and Littel",http://dummyimage.com/117x100.png/dddddd/000000,"[""Drama""]"
130,Rapture (Arrebato),79,1969,Indonesia,"Rempel, Ziemann and Prosacco",http://dummyimage.com/194x100.png/cc0000/ffffff,"[""Drama"",""Horror""]"
131,Come Back to Me,156,1962,China,Kerluke-Kiehn,http://dummyimage.com/243x100.png/5fa2dd/ffffff,"[""Horror""]"
132,"Devil's Tomb, The",20,1962,Armenia,Hickle Inc,http://dummyimage.com/118x100.png/ff4444/ffffff,"[""Action"",""Horror"",""Sci-Fi"",""Thriller""]"
133,Sister (L'enfant d'en haut),80,1960,Zambia,Lang LLC,http://dummyimage.com/171x100.png/cc0000/ffffff,"[""Crime"",""Drama""]"
134,Hours,144,1955,Sweden,Bradtke Group,http://dummyimage.com/206x100.png/ff4444/ffffff,"[""Drama"",""Thriller""]"
135,"Unknown Known, The",193,1988,Canada,Larkin and Sons,http://dummyimage.com/187x100.png/cc0000/ffffff,"[""Documentary""]"
136,Red Road,48,2015,Libya,Metz-Swaniawski,http://dummyimage.com/241x100.png/cc0000/ffffff,"[""Drama""]"
137,Broken Bridges,48,1971,United States,DuBuque-Lemke,http://dummyimage.com/120x100.png/cc0000/ffffff,"[""Drama""]"
138,Down Twisted,132,1979,Azerbaijan,"Weimann, McCullough and Dooley",http://dummyimage.com/107x100.png/ff4444/ffffff,"[""Action"",""Adventure"",""Crime"",""Drama"",""Thriller""]"
139,Tart,127,1962,Albania,Welch Inc,http://dummyimage.com/191x100.png/ff4444/ffffff,"[""Crime"",""Drama"",""Romance""]"
140,Beyond the Mat,175,1960,Brazil,Bernhard Group,http://dummyimage.com/235x100.png/ff4444/ffffff,"[""Documentary""]"
141,Paradise: Hope (Paradies: Hoffnung),117,1984,China,"Bins, Purdy and Raynor",http://dummyimage.com/230x100.png/cc0000/ffffff,"[""Drama""]"
142,Federal Hill,113,1986,Indonesia,"Considine, Stroman and Konopelski",http://dummyimage.com/225x100.png/cc0000/ffffff,"[""Drama""]"
143,Bill Hicks: Relentless,145,1955,Indonesia,Turner and Sons,http://dummyimage.com/107x100.png/dddddd/000000,"[""Comedy""]"
144,"Wrong Arm of the Law, The",131,2023,United States,Gusikowski-Goldner,http://dummyimage.com/146x100.png/cc0000/ffffff,"[""Comedy"",""Crime""]"
145,Thanks for Sharing,94,1985,Colombia,Dare-Bartoletti,http://dummyimage.com/118x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
146,The Good Son,157,1974,China,Schaefer-Grady,http://dummyimage.com/192x100.png/ff4444/ffffff,"[""Thriller""]"
147,At War with the Army,71,2004,Croatia,Roob-Trantow,http://dummyimage.com/218x100.png/dddddd/000000,"[""Comedy"",""Musical"",""Romance""]"
148,Imagine That,171,2002,China,"Runolfsdottir, Tromp and Hettinger",http://dummyimage.com/228x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Fantasy""]"
149,Crazy Mama,86,1971,Russia,Reichel-Kuhlman,http://dummyimage.com/208x100.png/cc0000/ffffff,"[""Action"",""Comedy""]"
150,Men in White,100,1991,Indonesia,Ondricka Inc,http://dummyimage.com/191x100.png/dddddd/000000,"[""(no genres listed)""]"
151,Kicking and Screaming,74,2022,Sierra Leone,"Murphy, West and Bogisich",http://dummyimage.com/238x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
152,"Love, Money, Love",21,1985,Portugal,Schowalter-Herzog,http://dummyimage.com/204x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
153,Switching Channels,120,1981,Philippines,Cormier-Rowe,http://dummyimage.com/182x100.png/cc0000/ffffff,"[""Comedy""]"
154,"Bunker, The",138,2016,Indonesia,"Schoen, Tromp and McClure",http://dummyimage.com/196x100.png/cc0000/ffffff,"[""Drama"",""Horror"",""Mystery"",""Thriller"",""War""]"
155,Passion,154,2018,United States,"Abernathy, Shanahan and Koch",http://dummyimage.com/196x100.png/dddddd/000000,"[""Crime"",""Drama"",""Mystery"",""Thriller""]"
156,Skin Deep,184,1957,Sweden,"Kassulke, Buckridge and Kutch",http://dummyimage.com/245x100.png/cc0000/ffffff,"[""Comedy""]"
157,Run Fatboy Run,196,1974,Indonesia,Powlowski Group,http://dummyimage.com/166x100.png/5fa2dd/ffffff,"[""Comedy"",""Romance""]"
158,Neil Young: Heart of Gold,180,1973,Poland,Heaney Group,http://dummyimage.com/167x100.png/ff4444/ffffff,"[""Documentary"",""Musical""]"
159,"Nature of the Beast, The",182,1950,Macedonia,Schinner-Harvey,http://dummyimage.com/241x100.png/5fa2dd/ffffff,"[""Crime"",""Horror"",""Mystery"",""Thriller""]"
160,Att stjäla en tjuv,143,1981,Somalia,Hermiston Inc,http://dummyimage.com/207x100.png/cc0000/ffffff,"[""Comedy""]"
161,Stones in Exile,70,1954,Philippines,Conn-Mayer,http://dummyimage.com/184x100.png/ff4444/ffffff,"[""Documentary"",""Musical""]"
162,"He Said, She Said",56,1958,Canada,"Bechtelar, Nolan and Anderson",http://dummyimage.com/162x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Romance""]"
163,"Contempt (Mépris, Le)",118,2005,Costa Rica,Pfannerstill-Sauer,http://dummyimage.com/228x100.png/5fa2dd/ffffff,"[""Drama""]"
164,Corto Maltese in Siberia (Corto Maltese - La cour secrète des Arcanes),53,1966,Iran,"Bayer, Corkery and Grady",http://dummyimage.com/116x100.png/ff4444/ffffff,"[""Adventure"",""Animation"",""Drama"",""Romance"",""War""]"
165,The House of Intrigue,17,1959,Philippines,Johns and Sons,http://dummyimage.com/206x100.png/ff4444/ffffff,"[""Drama"",""War""]"
166,Holiday Engagement,149,1967,Costa Rica,"Williamson, Moore and Heathcote",http://dummyimage.com/176x100.png/dddddd/000000,"[""Comedy""]"
167,"Little Brother, Big Trouble: A Christmas Adventure (Niko 2: Lentäjäveljekset)",105,2001,Brazil,"Bode, Hagenes and Rogahn",http://dummyimage.com/206x100.png/ff4444/ffffff,"[""Adventure"",""Animation"",""Children"",""Comedy""]"
168,Goofy Movies Number One,118,1968,Poland,Wisoky-White,http://dummyimage.com/140x100.png/cc0000/ffffff,"[""Comedy""]"
169,"Day in the Country, A (Partie de campagne)",38,2023,Bhutan,Kuvalis Group,http://dummyimage.com/204x100.png/dddddd/000000,"[""Drama"",""Romance""]"
170,Nevada Smith,70,1978,Russia,Morissette-Jenkins,http://dummyimage.com/190x100.png/ff4444/ffffff,"[""Western""]"
171,Hana and Alice (Hana to Arisu),131,1969,United States,Runte and Sons,http://dummyimage.com/177x100.png/cc0000/ffffff,"[""Comedy"",""Drama""]"
172,Citizen Toxie: The Toxic Avenger IV,41,2013,Peru,Bayer Group,http://dummyimage.com/181x100.png/cc0000/ffffff,"[""Action"",""Comedy"",""Horror""]"
173,Stormy Monday,197,2007,Indonesia,"Ernser, Roberts and Kilback",http://dummyimage.com/217x100.png/dddddd/000000,"[""Crime"",""Drama""]"
174,Antibodies (Antikörper),187,1996,Cameroon,Wilkinson Group,http://dummyimage.com/248x100.png/dddddd/000000,"[""Crime"",""Drama"",""Horror"",""Thriller""]"
175,Africa: The Serengeti,46,1957,Indonesia,Steuber Inc,http://dummyimage.com/173x100.png/5fa2dd/ffffff,"[""Documentary"",""IMAX""]"
176,Young Einstein,77,2016,Latvia,Nolan LLC,http://dummyimage.com/187x100.png/5fa2dd/ffffff,"[""Comedy""]"
177,Star Kid,125,1970,Brazil,Russel-Herzog,http://dummyimage.com/115x100.png/ff4444/ffffff,"[""Adventure"",""Children"",""Fantasy"",""Sci-Fi""]"
178,Anton Chekhov's The Duel,106,1976,France,"Reinger, Langosh and Howell",http://dummyimage.com/121x100.png/dddddd/000000,"[""Drama""]"
179,Million Dollar Arm,145,2005,Russia,"Cormier, Mraz and Reinger",http://dummyimage.com/179x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
