tvShowID,name,duration,countryOfOrigin,productionCompany,banner,genres,description,status,firstYearRelease
6620ef0cfc13ae0cffa2418c,GhostWatcher,36,Indonesia,Kozey-Watsica,http://dummyimage.com/161x100.png/cc0000/ffffff,"[""HORROR"",""MYSTERY"",""SCI_FI""]","Replacement of Left Pulmonary Vein with Zooplastic Tissue, Open Approach",RELEASED,2019
6620ef0cfc13ae0cffa2418d,Thin Ice,28,Argentina,Schaden Group,http://dummyimage.com/243x100.png/5fa2dd/ffffff,"[""COMEDY"",""CRIME"",""DRAMA""]","Revision of Synthetic Substitute in Left Lens, External Approach",COMING_SOON,2010
6620ef0cfc13ae0cffa2418e,Dirty,145,Brazil,"Daugherty, Roberts and Kirlin",http://dummyimage.com/227x100.png/5fa2dd/ffffff,"[""CRIME"",""DRAMA"",""THRILLER""]","Bypass Right Common Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach",RELEASED,2018
6620ef0cfc13ae0cffa2418f,Anything Goes,193,Colombia,"Bruen, Waelchi and Konopelski",http://dummyimage.com/165x100.png/cc0000/ffffff,"[""MUSICAL""]","Head and Facial Bones, Drainage",COMING_SOON,2017
6620ef0cfc13ae0cffa24190,"Locals, The",88,Croatia,O'Conner-Shanahan,http://dummyimage.com/176x100.png/dddddd/000000,"[""HORROR"",""THRILLER""]",Stereotactic Gamma Beam Radiosurgery of Brain Stem,RELEASED,2009
6620ef0cfc13ae0cffa24191,"Muse, The",116,Argentina,Weber-Predovic,http://dummyimage.com/244x100.png/5fa2dd/ffffff,"[""COMEDY""]","Extirpation of Matter from Left Common Iliac Artery, Percutaneous Approach",COMING_SOON,2010
6620ef0cfc13ae0cffa24192,"Householder, The (Gharbar)",93,Poland,Pfannerstill LLC,http://dummyimage.com/212x100.png/dddddd/000000,"[""COMEDY"",""DRAMA""]","Fusion of Thoracic Vertebral Joint with Nonautologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach",RELEASED,2008
6620ef0cfc13ae0cffa24193,Escobar: Paradise Lost,124,Greece,Dibbert Group,http://dummyimage.com/108x100.png/5fa2dd/ffffff,"[""ROMANCE"",""THRILLER""]","Repair Left Tarsal, External Approach",COMING_SOON,2002
6620ef0cfc13ae0cffa24194,"Formula, The",181,China,"Reynolds, Beatty and Renner",http://dummyimage.com/243x100.png/ff4444/ffffff,"[""THRILLER""]","Reposition Left Hip Tendon, Open Approach",RELEASED,2005
6620ef0cfc13ae0cffa24195,The Last Farm,131,Philippines,"Breitenberg, Feil and Murphy",http://dummyimage.com/215x100.png/5fa2dd/ffffff,"[""DRAMA""]","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",COMING_SOON,2015
6620ef0cfc13ae0cffa24196,Montana,161,Russia,"Homenick, Jacobson and Brakus",http://dummyimage.com/151x100.png/ff4444/ffffff,"[""ACTION"",""COMEDY"",""CRIME"",""DRAMA""]","Resection of Accessory Pancreatic Duct, Via Natural or Artificial Opening",COMING_SOON,2009
6620ef0cfc13ae0cffa24197,One Wonderful Sunday (Subarashiki nichiyobi),55,Syria,Robel LLC,http://dummyimage.com/180x100.png/5fa2dd/ffffff,"[""DRAMA"",""ROMANCE""]","Drainage of Female Perineum, Open Approach, Diagnostic",COMING_SOON,2012
6620ef0cfc13ae0cffa24198,"Wild Thornberrys Movie, The",174,France,Kirlin-Heidenreich,http://dummyimage.com/112x100.png/ff4444/ffffff,"[""ANIMATION"",""CHILDREN"",""COMEDY""]","Drainage of Left Kidney, Percutaneous Endoscopic Approach, Diagnostic",COMING_SOON,2008
6620ef0cfc13ae0cffa24199,Paint It Yellow (Rang De Basanti),84,China,Klein Group,http://dummyimage.com/213x100.png/ff4444/ffffff,"[""ACTION"",""COMEDY"",""DRAMA""]","Alteration of Left Upper Extremity with Synthetic Substitute, Percutaneous Approach",RELEASED,2013
6620ef0cfc13ae0cffa2419a,Jazz,138,El Salvador,Kihn-Deckow,http://dummyimage.com/186x100.png/dddddd/000000,"[""DOCUMENTARY""]","Bypass Esophagus to Stomach, Via Natural or Artificial Opening Endoscopic",COMING_SOON,2013
6620ef0cfc13ae0cffa2419b,Glenn Killing på Berns,25,Myanmar,"Hammes, Carter and Johnson",http://dummyimage.com/243x100.png/cc0000/ffffff,"[""COMEDY""]","Revision of Infusion Device in Genitourinary Tract, Percutaneous Endoscopic Approach",RELEASED,2004
6620ef0dfc13ae0cffa2419c,Summer Rental,58,Portugal,"Feeney, Ledner and Torp",http://dummyimage.com/238x100.png/ff4444/ffffff,"[""COMEDY""]","Dilation of Upper Artery with Four or More Intraluminal Devices, Percutaneous Approach",RELEASED,2017
6620ef0dfc13ae0cffa2419d,"Prisoner of Shark Island, The",106,Brazil,Feil-Stark,http://dummyimage.com/169x100.png/5fa2dd/ffffff,"[""DRAMA""]","Chiropractic Manipulation of Upper Extremities, Non-Manual",RELEASED,2010
6620ef0dfc13ae0cffa2419e,"Yes, But... (Oui, mais...)",170,Uruguay,Heidenreich Group,http://dummyimage.com/102x100.png/dddddd/000000,"[""COMEDY"",""DRAMA"",""ROMANCE""]","Extirpation of Matter from Left Acromioclavicular Joint, Percutaneous Approach",COMING_SOON,2013
6620ef0dfc13ae0cffa2419f,Prime Suspect,81,China,McLaughlin-Crooks,http://dummyimage.com/103x100.png/5fa2dd/ffffff,"[""CRIME"",""DRAMA"",""MYSTERY"",""THRILLER""]","Repair Left Ankle Joint, Open Approach",RELEASED,2014
6620ef0dfc13ae0cffa241a0,Seven Brothers (Seitsemän veljestä),181,Peru,"Hermiston, Gleason and Graham",http://dummyimage.com/230x100.png/dddddd/000000,"[""ANIMATION"",""COMEDY""]","Destruction of Right Finger Phalangeal Joint, Percutaneous Endoscopic Approach",COMING_SOON,2004
6620ef0dfc13ae0cffa241a1,Americano,40,Sweden,Robel-Cormier,http://dummyimage.com/147x100.png/5fa2dd/ffffff,"[""DRAMA""]","Insertion of External Fixation Device into Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach",COMING_SOON,2012
6620ef0dfc13ae0cffa241a2,"Warrior and the Sorceress, The",110,Uruguay,Turcotte-Runolfsson,http://dummyimage.com/178x100.png/5fa2dd/ffffff,"[""ACTION"",""ADVENTURE"",""FANTASY"",""SCI_FI""]","Revision of Nonautologous Tissue Substitute in Right Rib, Percutaneous Endoscopic Approach",COMING_SOON,2016
6620ef0dfc13ae0cffa241a3,Sahara,29,Belarus,Armstrong-Cummerata,http://dummyimage.com/242x100.png/ff4444/ffffff,"[""ACTION"",""DRAMA"",""WAR""]","Release Right Ureter, Via Natural or Artificial Opening",COMING_SOON,2017
6620ef0dfc13ae0cffa241a4,"Fighter, The",123,Afghanistan,"Monahan, Zulauf and Hermiston",http://dummyimage.com/177x100.png/dddddd/000000,"[""DRAMA""]","Drainage of Left Pleural Cavity with Drainage Device, Open Approach",RELEASED,2008
6620ef0dfc13ae0cffa241a5,Eye See You (D-Tox),135,China,Funk Inc,http://dummyimage.com/106x100.png/cc0000/ffffff,"[""HORROR"",""THRILLER""]","Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Open Approach",RELEASED,2014
6620ef0dfc13ae0cffa241a6,Punch-Drunk Love,181,Mexico,Padberg-Crona,http://dummyimage.com/213x100.png/dddddd/000000,"[""COMEDY"",""DRAMA"",""ROMANCE""]","Excision of Right Lower Femur, Percutaneous Endoscopic Approach",COMING_SOON,2016
6620ef0dfc13ae0cffa241a7,Welcome to the Jungle,23,Tunisia,Rohan Group,http://dummyimage.com/177x100.png/dddddd/000000,"[""HORROR""]","Destruction of Bilateral Spermatic Cords, Percutaneous Approach",RELEASED,2014
6620ef0dfc13ae0cffa241a8,Midnight Express,34,El Salvador,Koch-Parisian,http://dummyimage.com/142x100.png/5fa2dd/ffffff,"[""DRAMA""]","Dilation of Lingula Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach",RELEASED,2013
6620ef0dfc13ae0cffa241a9,"Aura, The (Aura, El)",56,Portugal,"Dare, Grant and Murray",http://dummyimage.com/144x100.png/5fa2dd/ffffff,"[""CRIME"",""DRAMA"",""THRILLER""]","Occlusion of Right Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach",COMING_SOON,2020
6620ef0dfc13ae0cffa241aa,Cop in Drag,43,Tunisia,Heidenreich and Sons,http://dummyimage.com/113x100.png/ff4444/ffffff,"[""COMEDY"",""CRIME"",""DRAMA""]","Alteration of Upper Jaw with Synthetic Substitute, Percutaneous Endoscopic Approach",COMING_SOON,2015
6620ef0dfc13ae0cffa241ab,Junk Mail (Budbringeren),199,Jamaica,"Pfannerstill, Hintz and Kutch",http://dummyimage.com/221x100.png/5fa2dd/ffffff,"[""COMEDY"",""THRILLER""]","Dilation of Right Temporal Artery with Three Intraluminal Devices, Percutaneous Approach",RELEASED,2011
6620ef0dfc13ae0cffa241ac,Stop Making Sense,51,Indonesia,Collier LLC,http://dummyimage.com/103x100.png/5fa2dd/ffffff,"[""DOCUMENTARY"",""MUSICAL""]","Reposition Left Wrist Joint, Percutaneous Endoscopic Approach",COMING_SOON,2010
6620ef0dfc13ae0cffa241ad,Woodstock,167,Poland,"Crist, Hintz and Kunze",http://dummyimage.com/169x100.png/cc0000/ffffff,"[""DOCUMENTARY"",""MUSICAL""]","Release Left Hip Muscle, Percutaneous Endoscopic Approach",COMING_SOON,2008
6620ef0dfc13ae0cffa241ae,Tropico,18,Libya,Streich LLC,http://dummyimage.com/119x100.png/5fa2dd/ffffff,"[""DRAMA"",""FANTASY"",""ROMANCE""]","Transfusion of Embryonic Stem Cells into Central Vein, Open Approach",RELEASED,2013
6620ef0dfc13ae0cffa241af,Romy and Michele's High School Reunion,121,Germany,Connelly-Bernhard,http://dummyimage.com/206x100.png/ff4444/ffffff,"[""COMEDY""]","Introduction of Nitric Oxide Gas into Respiratory Tract, Via Natural or Artificial Opening Endoscopic",RELEASED,2013
6620ef0dfc13ae0cffa241b0,"Foster Brothers, The (Süt kardesler)",129,Philippines,Herzog-Okuneva,http://dummyimage.com/168x100.png/cc0000/ffffff,"[""COMEDY""]","Replacement of Left Ulnar Artery with Autologous Tissue Substitute, Open Approach",RELEASED,2009
6620ef0dfc13ae0cffa241b1,Fist of the North Star,47,Egypt,Ernser Inc,http://dummyimage.com/216x100.png/5fa2dd/ffffff,"[""ACTION"",""THRILLER""]","Release Cervical Spinal Cord, Percutaneous Endoscopic Approach",RELEASED,2016
6620ef0dfc13ae0cffa241b2,Seed,93,Argentina,Franecki-Yundt,http://dummyimage.com/213x100.png/cc0000/ffffff,"[""HORROR""]","Supplement Left Metatarsal with Nonautologous Tissue Substitute, Percutaneous Approach",COMING_SOON,2018
6620ef0dfc13ae0cffa241b3,Sidewalks of London (St. Martin's Lane),83,Indonesia,Hammes LLC,http://dummyimage.com/210x100.png/5fa2dd/ffffff,"[""COMEDY""]","Revision of External Fixation Device in Right Pelvic Bone, Open Approach",RELEASED,2020
6620ef0dfc13ae0cffa241b4,Alexandria... Why? (Iskanderija... lih?),42,Tunisia,Klocko-Pollich,http://dummyimage.com/164x100.png/ff4444/ffffff,"[""DRAMA""]","Transfer Abdomen Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach",COMING_SOON,2006
6620ef0dfc13ae0cffa241b5,"Mad Masters, The (Les maîtres fous)",96,Estonia,Kuvalis and Sons,http://dummyimage.com/164x100.png/dddddd/000000,"[""DOCUMENTARY""]","Transfer Right Upper Leg Muscle, Percutaneous Endoscopic Approach",COMING_SOON,2017
6620ef0dfc13ae0cffa241b6,"Horrible Way to Die, A ",41,Indonesia,Ward Inc,http://dummyimage.com/225x100.png/cc0000/ffffff,"[""HORROR"",""THRILLER""]","Drainage of Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic",RELEASED,2014
6620ef0dfc13ae0cffa241b7,"4 Horsemen of the Apocalypse, The",27,Philippines,"Wyman, Sporer and Little",http://dummyimage.com/218x100.png/cc0000/ffffff,"[""DRAMA""]","Excision of Cerebellum, Percutaneous Endoscopic Approach, Diagnostic",RELEASED,2016
6620ef0dfc13ae0cffa241b8,Dick,138,Thailand,Renner Group,http://dummyimage.com/231x100.png/cc0000/ffffff,"[""COMEDY""]","Drainage of Perineum Tendon, Open Approach, Diagnostic",COMING_SOON,2015
6620ef0dfc13ae0cffa241b9,Games,53,France,"Romaguera, Hartmann and Simonis",http://dummyimage.com/111x100.png/cc0000/ffffff,"[""THRILLER""]",Change Splint on Left Finger,RELEASED,2010
6620ef0dfc13ae0cffa241ba,Lord of Illusions,198,Slovenia,"Windler, McLaughlin and Bartell",http://dummyimage.com/221x100.png/dddddd/000000,"[""HORROR""]","Drainage of Right Fallopian Tube, Via Natural or Artificial Opening",COMING_SOON,2008
6620ef0dfc13ae0cffa241bb,Model,166,Serbia,Davis and Sons,http://dummyimage.com/233x100.png/ff4444/ffffff,"[""DOCUMENTARY""]","Supplement Stomach, Pylorus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",RELEASED,2004
6620ef0dfc13ae0cffa241bc,"Frozen Ghost, The",147,Bangladesh,Rowe LLC,http://dummyimage.com/202x100.png/cc0000/ffffff,"[""MYSTERY""]",Beam Radiation of Cervix using Photons 1 - 10 MeV,COMING_SOON,2019
6620ef0dfc13ae0cffa241bd,Terror of Mechagodzilla (Mekagojira no gyakushu),62,Tanzania,Labadie-Heidenreich,http://dummyimage.com/108x100.png/5fa2dd/ffffff,"[""ACTION"",""SCI_FI""]","Supplement Right Shoulder Joint with Synthetic Substitute, Open Approach",COMING_SOON,2004
6620ef0dfc13ae0cffa241be,Shall We Kiss? (Un baiser s'il vous plait),154,Lesotho,"Daniel, Schulist and Crona",http://dummyimage.com/202x100.png/ff4444/ffffff,"[""COMEDY"",""ROMANCE""]","Removal of Nonautologous Tissue Substitute from Mouth and Throat, Percutaneous Approach",RELEASED,2015
6620ef0dfc13ae0cffa241bf,"Favor, The",169,China,Larson Group,http://dummyimage.com/120x100.png/dddddd/000000,"[""COMEDY"",""ROMANCE""]","Revision of Spacer in Left Hip Joint, Percutaneous Endoscopic Approach",COMING_SOON,2009
6620ef0dfc13ae0cffa241c0,Matewan,150,Cuba,Kuhlman Inc,http://dummyimage.com/115x100.png/5fa2dd/ffffff,"[""DRAMA""]","Revision of Monitoring Device in Upper Vein, External Approach",COMING_SOON,2010
6620ef0dfc13ae0cffa241c1,Jay and Silent Bob Strike Back,15,Mexico,Klocko-Stoltenberg,http://dummyimage.com/182x100.png/dddddd/000000,"[""ADVENTURE"",""COMEDY""]","Revision of Synthetic Substitute in Left Carpal, External Approach",RELEASED,2012
6620ef0dfc13ae0cffa241c2,"Unknown Known, The",120,Mongolia,Durgan Inc,http://dummyimage.com/230x100.png/cc0000/ffffff,"[""DOCUMENTARY""]","Replacement of Left Ulnar Artery with Nonautologous Tissue Substitute, Open Approach",RELEASED,2004
6620ef0dfc13ae0cffa241c3,Mélo,133,Philippines,Wolff Inc,http://dummyimage.com/208x100.png/cc0000/ffffff,"[""DRAMA"",""ROMANCE""]","Revision of Internal Fixation Device in Right Metacarpophalangeal Joint, Open Approach",COMING_SOON,2010
6620ef0dfc13ae0cffa241c4,The Tomb,94,Japan,Ondricka and Sons,http://dummyimage.com/238x100.png/5fa2dd/ffffff,"[""HORROR"",""THRILLER""]","Revision of Infusion Device in Right Lung, Via Natural or Artificial Opening Endoscopic",RELEASED,2014
6620ef0dfc13ae0cffa241c5,Brother Bear 2,66,China,Fahey Inc,http://dummyimage.com/207x100.png/ff4444/ffffff,"[""ADVENTURE"",""ANIMATION"",""CHILDREN"",""COMEDY"",""FANTASY""]","Dilation of Splenic Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach",RELEASED,2014
6620ef0dfc13ae0cffa241c6,Come Blow Your Horn,101,Botswana,Johnston-Romaguera,http://dummyimage.com/224x100.png/dddddd/000000,"[""COMEDY""]","Drainage of Right Mandible, Percutaneous Endoscopic Approach",RELEASED,2011
6620ef0dfc13ae0cffa241c7,Summertime,109,Brazil,Wiza-Kautzer,http://dummyimage.com/249x100.png/ff4444/ffffff,"[""COMEDY""]","Revision of Autologous Tissue Substitute in Thoracolumbar Vertebral Joint, External Approach",RELEASED,2016
6620ef0dfc13ae0cffa241c8,Snatch,59,United States,Champlin-Waelchi,http://dummyimage.com/147x100.png/dddddd/000000,"[""COMEDY"",""CRIME"",""THRILLER""]","Revision of Internal Fixation Device in Left Scapula, External Approach",RELEASED,2007
6620ef0dfc13ae0cffa241c9,Timerider: The Adventure of Lyle Swann,180,Thailand,Schuppe-Sporer,http://dummyimage.com/240x100.png/ff4444/ffffff,"[""ACTION"",""ADVENTURE"",""SCI_FI"",""WESTERN""]","Revision of Intraluminal Device in Cisterna Chyli, External Approach",COMING_SOON,2017
6620ef0dfc13ae0cffa241ca,Women Robbers (Diebinnen),43,Russia,Zulauf LLC,http://dummyimage.com/192x100.png/dddddd/000000,"[""DRAMA""]","Revision of Drainage Device in Thoracolumbar Vertebral Disc, Percutaneous Endoscopic Approach",RELEASED,2006
6620ef0dfc13ae0cffa241cb,"Rules of Attraction, The",160,Canada,O'Connell LLC,http://dummyimage.com/212x100.png/ff4444/ffffff,"[""COMEDY"",""DRAMA"",""ROMANCE"",""THRILLER""]","Excision of Hymen, Via Natural or Artificial Opening",RELEASED,2015
6620ef0dfc13ae0cffa241cc,Johnny Guitar,147,Guam,"Gusikowski, Altenwerth and Cummings",http://dummyimage.com/174x100.png/cc0000/ffffff,"[""DRAMA"",""WESTERN""]","Occlusion of Left Pulmonary Vein with Extraluminal Device, Percutaneous Approach",COMING_SOON,2017
6620ef0dfc13ae0cffa241cd,Footnote (Hearat Shulayim),116,Nicaragua,Harris-Daugherty,http://dummyimage.com/141x100.png/5fa2dd/ffffff,"[""DRAMA""]","Destruction of Lower Esophagus, Via Natural or Artificial Opening",COMING_SOON,2020
6620ef0dfc13ae0cffa241ce,Leaving (Partir),199,China,"Weimann, Dietrich and Brown",http://dummyimage.com/142x100.png/5fa2dd/ffffff,"[""DRAMA"",""ROMANCE""]","Fusion of Right Toe Phalangeal Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",COMING_SOON,2017
6620ef0dfc13ae0cffa241cf,Breaking Point,33,China,"Stracke, Parker and Ruecker",http://dummyimage.com/113x100.png/5fa2dd/ffffff,"[""ACTION"",""CRIME"",""DRAMA"",""THRILLER""]","Division of Right Pelvic Bone, Open Approach",COMING_SOON,2015
6620ef0dfc13ae0cffa241d0,"Blood, Sweat + Vinyl: DIY in the 21st Century",16,Czech Republic,Wiegand and Sons,http://dummyimage.com/169x100.png/cc0000/ffffff,"[""DOCUMENTARY""]","Supplement Thorax Lymphatic with Nonautologous Tissue Substitute, Open Approach",RELEASED,2017
6620ef0dfc13ae0cffa241d1,You Only Live Twice,100,Indonesia,Heaney LLC,http://dummyimage.com/192x100.png/ff4444/ffffff,"[""ACTION"",""ADVENTURE"",""SCI_FI"",""THRILLER""]","Supplement Nasal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",RELEASED,2010
6620ef0dfc13ae0cffa241d2,The Great Scout & Cathouse Thursday,74,Afghanistan,Kerluke and Sons,http://dummyimage.com/226x100.png/dddddd/000000,"[""ACTION"",""COMEDY"",""WESTERN""]","Insertion of Internal Fixation Device into Right Mandible, Open Approach",RELEASED,2014
6620ef0dfc13ae0cffa241d3,It Takes Two,141,Mexico,Stehr LLC,http://dummyimage.com/151x100.png/cc0000/ffffff,"[""CHILDREN"",""COMEDY""]","Insertion of Contraceptive Device into Right Lower Leg Subcutaneous Tissue and Fascia, Open Approach",COMING_SOON,2011
6620ef0dfc13ae0cffa241d4,Gleason,121,Malaysia,Carter-Wilkinson,http://dummyimage.com/176x100.png/cc0000/ffffff,"[""DRAMA""]","Endocrine System, Drainage",RELEASED,2004
6620ef0dfc13ae0cffa241d5,Louis C.K.: Hilarious,75,Croatia,"Morar, Rodriguez and Kessler",http://dummyimage.com/113x100.png/ff4444/ffffff,"[""COMEDY""]","Dilation of Right Internal Carotid Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",COMING_SOON,2004
6620ef0dfc13ae0cffa241d6,Wide Awake,133,Indonesia,Huel Group,http://dummyimage.com/142x100.png/5fa2dd/ffffff,"[""CHILDREN"",""COMEDY"",""DRAMA""]","Excision of Right Femoral Region, Percutaneous Approach, Diagnostic",COMING_SOON,2019
6620ef0dfc13ae0cffa241d7,"Snows of Kilimanjaro, The",65,Russia,Kling LLC,http://dummyimage.com/144x100.png/ff4444/ffffff,"[""ADVENTURE""]","Drainage of Nasal Bone, Percutaneous Endoscopic Approach, Diagnostic",COMING_SOON,2013
6620ef0dfc13ae0cffa241d8,All Through the Night,79,Portugal,"Torphy, Roob and Adams",http://dummyimage.com/100x100.png/cc0000/ffffff,"[""ACTION"",""COMEDY"",""DRAMA"",""THRILLER"",""WAR""]","Transfer Hypoglossal Nerve to Olfactory Nerve, Percutaneous Endoscopic Approach",COMING_SOON,2011
